Medio Cultivo;C�d-lab;Cepa;Victoria;Proyecto;Pigmentaci�n;Lecitinasa;Ureasa;Lipasa;Amilasa;Proteasa;Catalasa;Celulasa;Fosfatasa;AIA;5 �C;37 �C;25 �C;AMP;AMC/AML;FEP;CTX;CXM;CAZ;ETP;I/R;CN;AK;K;S;NA/ND;C;AZM;TE;DO;AM E.coli;AM S.aureus;Metabolomica;16S;Nicol�s;Gram;morfologia;Genomas;Origen;;;;;;;;;;
CM;C6;PLA 13;X;Innova Sur Sur/Lechuga;Rojo;+;-;+;+;+;-;-;-;+++;+;+;+;R;R;R;R;R;R;S;S;S;S;I;S;S;S;S;I;S;-;+;;Arthrobacter sp.;;+;Bacilos;Si (USACH);Planta L. Amarga;;;;;;;;;;
CM;C5;PLA 12;X;Innova Sur Sur;Naranjo;+;+;+;-;+;+++;-;-;-;+;+;+;S;S;S;S;S;R;S;S;S;S;S;S;S;S;S;S;S;-;+;;Planococcus sp;;+;Cocos;SI (UFRO);Planta L. Amarga;;;;;;;;;;
TSA;B15;PLA 1;;;Blanco;+;-;+;-;-;+;-;-;P;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Planta laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSA;B17;PL 4;;;Blanco;+;-;+;+++;-;+;++;+;P;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;;;;;;;;;;;
TSA;B13;PE 8;X;;Caf� claro;+;-;+++;+;+++;+;+;++;;+;+;+;R;R;R;R;R;R;I;R;R;I;R;R;I;R;R;R;I;-;-;;Pseudomonas sp.;;+;Bacilos;;Lago pehoe;;;;;;;;;;
TSA;B12;PE 7;X;;Naranjo;+;-;+++;+;-;+;+;-;;+;+;+;?;?;S;S;S;S;S;S;S;S;S;I;S;I;I;I;S;-;-;;Aeromonas sp.;;+;Bacilos;;Lago pehoe;;;;;;;;;;
TSA;B11;PE 6;X;;Naranjo;++;-;-;+++;-;+;++;+++;-;+;+;+;S;S;S;S;S;I;S;S;I;I;S;S;S;S;S;S;S;-;-;;;;-;Bacilos;;Lago pehoe;;;;;;;;;;
LB/3;A5;PE 5;X;;Blanco;+;+;+;-;-;+;-;-;+;+;+;+;S;I;S;S;S;R;R;S;S;R;R;R;I;R;I;S;S;-;-;si;Rhodococcus sp.;MDR;+;Bacilos;;Lago pehoe;;;;;;;;;;
CM;C4;PE 14;X;Innova Sur Sur;Amarillo;-;+;-;+;+++;++;-;+++;++;+;+;+;s;S;S;S;S;I;I;S;I;I;I;R;R;S;;S;S;-;-;;Pseudomonas sp.;;+;Cocos;Si (UFRO);Lago pehoe;;;;;;;;;;
CM;C3;PE 13;X;;Blanco;+;-;-;++;-;+;++;+;+;-;-;+;R;R;S;I;R;S;S;S;S;S;S;S;S;I;R;R;S;-;-;;Pseudomonas sp.;MDR;+;Bacilos;;Lago pehoe;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSA;B14;PE 10;X;Mike;Morado;+;-;++;+;+++;-;++;++;-;-;-;+;S;R;S;S;S;S;R;R;S;S;S;I;S;S;S;S;S;-;+;;Janthinobacterium sp.;;+;Bacilos;;lago pehoe;;;;;;;;;;
TSA;B10;PE 1;X;;Amarillo;+;-;-;+;++;+;+++;-;+++;+;+;+;;;;;;;;;;;;;;;;;;-;-;;;;+;Cocos;;Lago pehoe;;;;;;;;;;
TSA;B21;LG 6;X;;Blanco;+;-;+;+++;+;+;+;+;;+;+;+;;;;;;;;;;;;;;;;;;-;-;;Paenibacillus sp.;;+;Bacilos;;Lago grey;;;;;;;;;;
TSA;B20;LG 5;X;;Blanco;-;-;-;++;+;-;+;+;;-;+;+;;;;;;;;;;;;;;;;;;-;-;;Peanibacillus sp.;;+;Cocos;;Lago grey;;;;;;;;;;
TSA;B19;LG 3;X;;Blanco;+;-;+;+++;+++;+;++;++;;+;+;+;R;R;S;I;R;S;R;I;S;S;R;R;I;R;R;S;;-;-;;Pseudomonas sp.;MDR;-;Bacilos;;Lago grey;;;;;;;;;;
TSA;B18;LG 2;X;;Blanco;+;-;+;++;+++;+;++;++;-;+;+;+;R;R;S;R;R;I;R;S;S;S;S;R;I;R;R;I;S;+;+;;Enterococcus sp.;;+;Cocos;;Lago grey;;;;;;;;;;
CM;C7;LG 13;X;;Blanco;+;+;+;+;-;+++;-;+;;-;+;+;S;S;S;S;S;S;S;S;S;S;S;I;S;S;S;S;S;-;-;;Bacillus sp.;;+;Bacilos;;Lago Grey;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSA;B8;LA 9;;;Naranjo;+++;-;-;-;-;+;-;-;P;+;+;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos ;;laguna amarga;;;;;;;;;;
TSA;B7;LA 8;;;Rosado claro;+++;-;-;-;+;+;+;+++;P;+;+;+;;;;;;;;;;;;;;;;;;;;;;;-;bacilos;;laguna amarga;;;;;;;;;;
TSA;B6;LA 7;;;Blanco;+++;-;-;-;++;+;+;+++;P;+;+;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;laguna amarga;;;;;;;;;;
TSA;B5;LA 5;X;Mike;Rojo;++;-;+;-;-;+;+;+;;+;+;+;S;S;S;S;S;R;I;S;I;I;I;I;I;S;S;S;S;-;+;;Dietzia sp.;;+;Bacilos;Si (MIKE);laguna amarga;;;;;;;;;;
TSA;B4;LA 4;X;Innova sur sur;Rojo;-;-;+;-;-;+;-;+;+;+;+;+;S;S;S;S;S;S;S;S;S;S;S;R;R;S;S;S;S;-;-;;Dietzia sp.;;+;Cocos;Si (UFRO);laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSA;B3;LA 3;;;Amarillo;+++;-;-;-;+++;+;+++;++;P;+;+;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TSA;B2;LA 2;X;;Naranjo;+++;-;-;-;++;+;+;++;-;+;+;+;S;S;S;S;S;R;S;S;S;S;S;S;R;S;R;S;S;-;-;;Staphylococcus;;+;Bacilos;;Laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CM;C2;LA 18;X;;Naranja;+;-;-;+++;-;+++;+++;-;;;;+;;;;;;;;;;;;;;;;;;-;+;;Aerococcus sp.;;+;Bacilos;;Laguna Amarga;;;;;;;;;;
CM;C1;LA 17;;;Amarillo;-;-;-;-;-;-;-;-;P;;;+;;;;;;;;;;;;;;;;;;-;-;;;;-;Bacilos ;;Laguna Amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
